datetime,dailyid,dayofweek,os,home_countryname,plmn,plmn_countryname,setting_currency,setting_language,setting_country,logtype_category,logtype_subcategory,accuracy,speed,estimated_speed_flag,course,estimated_course_flag,prefcode,citycode,mesh100mid,home_prefcode,home_citycode,workplace_prefcode,workplace_citycode,transportation_type,gender,longitude,latitude,previous_datetime,previous_interval_s,next_interval_s,distance_m,speed_calc_kmh,mesh1kmid,state
2018/10/02 3:23:00,f044fa09b93de05690ae38fc127b4b1db6f46f3e9ec687457d7596c04a9a6e8a8a00d7b5da8947ace190eafb452e540e,2,Android,Japan,44010,Japan,,ja,,,,14.002,0.003,2,171.189,2,38,38201,5032651958,38,38201,38,38201,,na,132.748078,33.846093,2018/10/02 3:17:00,360,-300,0.6464612674,0.006464612674,50326519,Stay
2018/10/02 3:36:00,f044fa09b93de05690ae38fc127b4b1db6f46f3e9ec687457d7596c04a9a6e8a8a00d7b5da8947ace190eafb452e540e,2,Android,Japan,44010,Japan,,ja,,,,10,0.001,2,20.725,2,38,38201,5032651958,38,38201,38,38201,,na,132.748048,33.846001,2018/10/02 3:31:00,300,-600,0.4336342885,0.005203611462,50326519,Stay
2018/10/02 3:17:00,f044fa09b93de05690ae38fc127b4b1db6f46f3e9ec687457d7596c04a9a6e8a8a00d7b5da8947ace190eafb452e540e,2,Android,Japan,44010,Japan,,ja,,,,18.002,0.019,2,320.706,2,38,38201,5032651958,38,38201,38,38201,,na,132.748085,33.846093,2018/10/02 3:10:00,420,-360,2.616826136,0.0224299383,50326519,Stay
2018/10/02 3:51:00,f044fa09b93de05690ae38fc127b4b1db6f46f3e9ec687457d7596c04a9a6e8a8a00d7b5da8947ace190eafb452e540e,2,Android,Japan,44010,Japan,,ja,,,,14.414,0.04,2,190.231,2,38,38201,5032651958,38,38201,38,38201,,na,132.748069,33.846059,2018/10/02 3:50:00,60,-300,2.351475715,0.1410885429,50326519,Stay
2018/10/02 3:31:00,f044fa09b93de05690ae38fc127b4b1db6f46f3e9ec687457d7596c04a9a6e8a8a00d7b5da8947ace190eafb452e540e,2,Android,Japan,44010,Japan,,ja,,,,6,0.046,2,136.741,2,38,38201,5032651958,38,38201,38,38201,,na,132.748045,33.846004,2018/10/02 3:28:00,180,-300,8.463963729,0.1692792746,50326519,Stay
2018/10/02 3:50:00,f044fa09b93de05690ae38fc127b4b1db6f46f3e9ec687457d7596c04a9a6e8a8a00d7b5da8947ace190eafb452e540e,2,Android,Japan,44010,Japan,,ja,,,,19.02,0.015,2,10.231,2,38,38201,5032651958,38,38201,38,38201,,na,132.748066,33.846038,2018/10/02 3:46:00,240,-60,4.216595615,0.06324893423,50326519,Stay
2018/10/02 3:02:00,f044fa09b93de05690ae38fc127b4b1db6f46f3e9ec687457d7596c04a9a6e8a8a00d7b5da8947ace190eafb452e540e,2,Android,Japan,44010,Japan,,ja,,,,15.154,1.393,2,272.129,2,38,38201,5032651958,38,38201,38,38201,,na,132.748084,33.84607,2018/10/02 2:57:00,300,-480,0.4816065875,0.00577927905,50326519,Stay
2018/10/02 3:40:00,f4562512b4e35392291234ea141962cde22968b6a29eabfaa7fbb7b8bbe98da3bc5eeca9a6a670bf14d4cafe1cf080f9,2,Android,Japan,44010,Japan,,ja,,,,9.648,20.365,2,,,28,28205,5134465878,38,38201,30,30201,,m,134.860741,34.381242,2018/10/02 3:03:00,2220,-1140,44251.82088,71.75970953,51344658,Move
2018/10/02 3:59:00,f4562512b4e35392291234ea141962cde22968b6a29eabfaa7fbb7b8bbe98da3bc5eeca9a6a670bf14d4cafe1cf080f9,2,Android,Japan,44010,Japan,,ja,,,,8.576,22.666,2,,,28,28226,5134675857,38,38201,30,30201,,m,134.983913,34.54585,2018/10/02 3:40:00,1140,-900,21506.67242,67.91580764,51346758,Move
2018/10/02 3:03:00,f4562512b4e35392291234ea141962cde22968b6a29eabfaa7fbb7b8bbe98da3bc5eeca9a6a670bf14d4cafe1cf080f9,2,Android,Japan,44010,Japan,,ja,,,,10,21.44,2,,,36,36404,5134231584,38,38201,30,30201,,m,134.443694,34.182169,2018/10/02 2:58:00,300,-2220,6557.895353,78.69474424,51342315,Move
